	Fibroblast.c01.MYH11	Fibroblast.c02.ADAMDEC1	Fibroblast.c03.COL15A1	Fibroblast.c04.LRRC15	Fibroblast.c05.PI16	Fibroblast.c06.ADH1B	Fibroblast.c07.IL6	Fibroblast.c08.RGS5	Fibroblast.c09.CTNNB1	Fibroblast.c10.PRG4	Fibroblast.c11.HOPX	Fibroblast.c12.MSLN	Fibroblast.c13.HGF	Fibroblast.c14.HSPA6	Fibroblast.c15.SOX6	Fibroblast.c16.SFRP2	Fibroblast.c17.STMN1	Fibroblast.c18.HHIP	Fibroblast.c19.MMP1	Fibroblast.c20.CD74
GTF2B	1.924211597	0.268456376	0.491447643	0.394127093	0.879735045	0.368421053	1.071428571	2.957433086	0.113689095	0.5	0.864721485	0.846153846	0.611940299	0.750791139	0.343485618	0.441108545	0.270114943	0.243902439	0.584760274	0.299435028
GTF2E2	1.813326551	0.209731544	0.190654985	0.528102776	0.372179673	0.135113904	0.357142857	1.699290551	0.13225058	0	0.826259947	0.282051282	6.194029851	0.314082278	0.329949239	0.408775982	0.864942529	0.475609756	0.567636986	0.254237288
GTF2H2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2H2C	0.775178026	0.077181208	0.070504798	0.131681578	0.105982198	0.165750196	0.132653061	0.532731377	0.023201856	0	0.401856764	0.128205128	0.373134328	0.189873418	0.106598985	0.11778291	0.043103448	0.158536585	0.130136986	0.056497175
GTF2H4	0.335198372	0.048657718	0.061743846	0.137646249	0.094183399	0.061272584	0.081632653	0.232344405	0.044083527	0	0.135278515	0.128205128	0.074626866	0.209651899	0.07106599	0.145496536	0.048850575	0.097560976	0.163527397	0.084745763
GTF2I	2.225839268	0.612416107	0.448894451	1.385638908	0.536741875	0.430479183	0.734693878	1.902128346	0.331786543	0.5	1.188328912	0.615384615	4.343283582	0.649525316	0.937394247	1.122401848	0.33908046	1.487804878	1.246575342	1.813559322
GTF2IRD2B	0.921159715	0.313758389	0.195661243	0.376691902	0.255433658	0.168106834	0.285714286	0.783618188	0.081206497	0	0.363395225	0.282051282	3.865671642	0.284810127	0.304568528	0.341801386	0.166666667	0.390243902	0.418664384	0.372881356
GTF3C2	2.631230926	0.063758389	0.071339174	0.189722413	0.120678948	0.136684996	0.051020408	1.52289584	0.046403712	0.5	0.172413793	0.153846154	5.671641791	0.123417722	0.082910321	0.140877598	0.091954023	0.12195122	0.195205479	1.576271186
GTF3C3	1.726856562	0.070469799	0.052565707	0.158522597	0.077002691	0.063629222	0.091836735	1.388906804	0.069605568	0	0.482758621	0.153846154	6.791044776	0.087025316	0.098138748	0.099307159	0.051724138	0.12195122	0.127568493	0.728813559
GTF3C4	0.305696846	0.043624161	0.056737589	0.120669878	0.058166011	0.053417125	0.204081633	0.392776524	0.044083527	1	0.615384615	0.076923077	0.447761194	0.087816456	0.111675127	0.090069284	0.031609195	0.085365854	0.145547945	0.033898305
GTF3C6	3.592065107	0.322147651	0.382144347	1.27047488	0.689298282	0.360565593	0.744897959	4.09158336	0.222737819	2	2.366047745	0.615384615	3.880597015	0.784810127	0.615905245	0.933025404	1.543103448	1.036585366	1.279109589	2.254237288
GTPBP2	0.901831129	0.060402685	0.02711723	0.08855242	0.038087353	0.029850746	0.030612245	0.744920993	0.044083527	0	0.086206897	0.076923077	7.134328358	0.058544304	0.055837563	0.050808314	0.040229885	0.06097561	0.094178082	0.502824859
GUCA1A	0.006103764	0.001677852	0.010429704	0.239963294	0.073276754	0.008641005	0.010204082	0.033860045	0.009280742	4	0.110079576	0	0	0.027689873	0.001692047	0.069284065	0.025862069	0.024390244	0.102739726	0.005649718
GUCA1B	0.002034588	0	0.001251564	0.001147052	0.000827986	0	0	0.001612383	0	0	0	0	0	0.000791139	0.001692047	0	0	0	0.001712329	0
GUCA2A	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0.000856164	0
GUCA2B	0	0.001677852	0.000417188	0	0	0	0	0	0	0	0	0	0	0	0.001692047	0	0	0	0	0
GUCY1A1	32.35045778	0.020134228	0.408010013	1.81234228	0.019043676	1.898664572	0.591836735	25.24475975	0.519721578	0	6.968169761	0.846153846	109.880597	3.167721519	0	0.591224018	0.304597701	0.353658537	2.537671233	8.836158192
GUCY2C	0.107324517	0	0.000417188	0	0.000413993	0	0	0.033537569	0	0	0	0	0	0	0	0	0.002873563	0	0	0
GUF1	1.076805697	0.052013423	0.053400083	0.121128699	0.065824881	0.041633936	0.051020408	0.639148662	0.023201856	0	0.103448276	0	6.611940299	0.310917722	0.076142132	0.108545035	0.054597701	0.097560976	0.119006849	0.13559322
GUK1	22.31434385	1.19295302	1.962453066	6.970176646	3.801076382	1.549882168	4.193877551	17.08561754	1.373549884	9.5	9.722811671	4.717948718	28.74626866	3.632120253	3.025380711	5.133949192	2.905172414	5.634146341	6.511130137	4.870056497
GULP1	0.475076297	0.370805369	0.277012933	0.509061711	0.399296212	0.229379419	0.367346939	0.278297323	0.104408353	0	0.419098143	0.256410256	0.104477612	0.433544304	0.52284264	0.540415704	0.189655172	0.353658537	0.531678082	0.276836158
GXYLT2	0.082909461	0.093959732	0.134751773	0.742372104	0.150486442	0.100549882	0.214285714	0.112866817	0.122969838	0.5	0.842175066	0.358974359	1.52238806	0.321202532	0.07106599	1.041570439	0.077586207	0.134146341	0.255136986	0.293785311
GYG2	0.036622584	0.011744966	0.00667501	0.06102317	0.005174912	0.00392773	0.010204082	0.004192196	0.002320186	0	0.027851459	0	0.029850746	0.018196203	0.015228426	0.013856813	0	0.012195122	0.04880137	0.033898305
GYPA	0	0	0	0	0	0	0	0.000322477	0	0	0	0	0	0	0	0	0	0	0	0
GYPB	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
GYPC	2.173957274	0.682885906	1.663329161	1.345950906	2.909749534	1.494893951	2.755102041	4.306514028	0.382830626	1.5	3.340848806	2.41025641	9.925373134	1.408227848	0.908629442	2.759815242	0.695402299	1.195121951	1.985445205	2.028248588
GYPE	0	0.001677852	0	0.001605873	0.000620989	0.000785546	0	0.002418575	0	0	0	0	0	0.000791139	0.001692047	0.002309469	0	0	0	0
GZMA	0.010681587	0.010067114	0.003754693	0.017664602	0.00413993	0.000785546	0.020408163	0.011770397	0.013921114	0	0.031830239	0.025641026	0.014925373	0.023734177	0.020304569	0.041570439	0.005747126	0.024390244	0.030821918	0.033898305
GZMK	0.008646999	0.003355705	0.007092199	0.004588208	0.00351894	0.003142184	0	0.004675911	0.011600928	0	0.019893899	0	0.014925373	0.002373418	0.003384095	0.03926097	0	0	0.015410959	0
H1FX-AS1	0.129196338	0.018456376	0.009178139	0.001376462	0.015524736	0.010212097	0	0.244114802	0.006960557	0	0.00928382	0	0.014925373	0.012658228	0.025380711	0.013856813	0.005747126	0.012195122	0.009417808	0
H6PD	1.808240081	0.208053691	0.304130163	0.484973618	0.250465742	0.252945797	0.448979592	0.878103837	0.143851508	0	0.546419098	0.487179487	1.537313433	0.344936709	0.218274112	0.551963048	0.066091954	0.219512195	0.555650685	0.717514124
HACE1	0.628179044	0.05033557	0.03379224	0.071346639	0.05174912	0.343283582	0.051020408	0.500322477	0.044083527	0	0.061007958	0.076923077	0.044776119	0.055379747	0.03891709	0.07852194	0.043103448	0	0.08390411	0.016949153
HACL1	1.009664293	0.087248322	0.082603254	0.12135811	0.104326226	0.285938727	0.153061224	1.698323122	0.027842227	0	0.514588859	0.051282051	16.74626866	0.099683544	0.108291032	0.133949192	0.043103448	0.048780488	0.113013699	0.118644068
HADHA	12.08646999	0.521812081	0.567793075	1.202569397	0.945352929	1.198743126	0.785714286	9.680909384	0.276102088	1	3.576923077	0.974358974	21.86567164	0.744462025	0.758037225	1.806004619	2.393678161	1.097560976	1.184931507	7.062146893
HADHB	11.56765005	0.340604027	0.523988319	0.886671255	0.546677706	1.028279654	0.602040816	8.321186714	0.180974478	1	2.842175066	0.41025641	30.04477612	1.332278481	0.600676819	0.893764434	0.350574713	0.987804878	0.924657534	2.033898305
HAND1	0.001017294	0	0.000417188	0	0	0	0	0.002579813	0	0	0.00132626	0	0	0	0	0	0	0	0	0
HAO2	0.001017294	0	0	0.000688231	0.000413993	0.000785546	0.010204082	0.000644953	0	0	0.00132626	0	0.029850746	0	0.001692047	0	0.002873563	0	0.004280822	0
HAP1	0.001017294	0.045302013	0.012515645	0.001376462	0.000827986	0.010212097	0	0.149467914	0.004640371	0	0.00795756	0	0.044776119	0.018196203	0.027072758	0.006928406	0.00862069	0	0.005136986	0.011299435
HAPLN2	0.331129196	0	0	0	0.000413993	0.010212097	0.010204082	0.248629474	0	0	0.00265252	0	0	0	0	0	0	0	0	0
HARS2	1.139369278	0.077181208	0.067584481	0.200504703	0.074932726	0.229379419	0.010204082	1.792486295	0.046403712	0.5	0.470822281	0.076923077	1.388059701	0.109177215	0.087986464	0.166281755	0.048850575	0.12195122	0.148116438	0.327683616
HAS2-AS1	0.005595117	0.031879195	0.032540676	0.01674696	0.045746222	0.080125687	0.030612245	0.007900677	0.006960557	0	0.041114058	0.025641026	0.104477612	0.03085443	0.052453469	0.03926097	0.005747126	0.073170732	0.030821918	0.011299435
HAT1	8.044760936	0.166107383	0.237380058	0.355127323	0.253363693	0.214454046	0.479591837	5.587068688	0.085846868	1.5	1.106100796	0.333333333	22.56716418	0.324367089	0.296108291	0.323325635	0.764367816	0.304878049	0.426369863	4.13559322
HAUS3	0.73397762	0.060402685	0.057154777	0.088093599	0.058787001	0.177533386	0.071428571	0.675104805	0.025522042	0	0.551724138	0.102564103	7.462686567	0.07278481	0.052453469	0.087759815	0.097701149	0.048780488	0.119006849	0.039548023
HAUS4	1.715666328	0.10738255	0.20984564	0.319568708	0.240529911	0.362136685	0.285714286	0.899709771	0.060324826	0	0.324933687	0.256410256	5	0.255537975	0.155668359	0.357967667	0.212643678	0.158536585	0.309931507	0.254237288
HAUS6	1.034587996	0.060402685	0.050896955	0.112181693	0.069136825	0.033778476	0.081632653	0.555788455	0.034802784	0	0.172413793	0.076923077	1.671641791	0.097310127	0.07106599	0.120092379	0.045977011	0.158536585	0.123287671	0.06779661
HAVCR2	0.067650051	0	0.002920317	0.006882312	0.000827986	0.002356638	0.020408163	0.03144147	0.002320186	0	0.017241379	0	0.029850746	0.001582278	0.005076142	0.004618938	0.002873563	0	0.012842466	0
HAX1	6.65768057	0.295302013	0.453483521	0.970864877	0.752432209	0.660644148	0.683673469	4.657529829	0.176334107	5	1.838196286	0.846153846	8.656716418	0.695411392	0.473773266	0.898383372	1.155172414	0.731707317	1.028253425	0.779661017
HBA2	0.003051882	0	0.005006258	0.023629273	0.013868764	0.028279654	0	0.009190584	0.013921114	0	0.019893899	0	0	0.017405063	0.001692047	0.036951501	0.002873563	0.012195122	0.003424658	0
HBD	0.001017294	0	0	0.000458821	0	0.000785546	0	0.001128668	0	0	0.00132626	0	0	0.000791139	0.001692047	0	0	0	0.001712329	0
HBEGF	0.496439471	0.031879195	0.079265749	0.133746272	0.158766301	0.009426551	0.265306122	0.69945179	0.104408353	0.5	0.206896552	0.307692308	0.104477612	0.346518987	0.047377327	0.099307159	0.117816092	0.207317073	0.260273973	0.141242938
HBG2	0.01017294	0.001677852	0	0.00022941	0.001034982	0.001571092	0	0.012254112	0	0	0	0	0	0	0	0	0.002873563	0	0	0
HBP1	5.738555443	0.352348993	0.410095953	0.660013765	0.496170565	0.458758837	0.867346939	4.495807804	0.174013921	0.5	1.762599469	0.743589744	21.47761194	1.272151899	0.61928934	0.794457275	0.75	0.37804878	0.976027397	1.276836158
HCAR1	0.000508647	0	0.001668753	0.00022941	0	0.001571092	0	0.08303773	0	0	0.00132626	0	0	0.000791139	0.003384095	0.011547344	0	0	0	0
HCG11	0.131739573	0.046979866	0.125156446	0.038082129	0.06644587	0.641791045	0.051020408	0.716543051	0.013921114	0	0.094164456	0.102564103	0.179104478	0.071993671	0.042301184	0.170900693	0.114942529	0.024390244	0.041952055	0.056497175
HCG14	0.000508647	0	0.000417188	0.00022941	0.000206996	0.000785546	0	0.017413738	0	0	0	0	0	0	0	0	0	0	0	0
HCG18	2.538148525	0.174496644	0.126825198	0.07203487	0.15648934	0.100549882	0.173469388	1.368913254	0.032482599	0	0.712201592	0.128205128	3.940298507	0.087816456	0.226734349	0.094688222	0.186781609	0.207317073	0.071061644	0.248587571
HCG20	0	0.003355705	0.000417188	0.00022941	0.000620989	0	0	0.022573363	0	0	0.00132626	0	0	0.002373418	0.003384095	0	0	0	0	0
HCG21	0	0	0	0	0	0	0	0.004514673	0	0	0	0	0	0	0	0	0	0	0	0
HCG24	0	0	0	0	0	0	0	0.000161238	0	0	0	0	0	0	0	0	0	0	0	0
HCLS1	6.095625636	0.018456376	0.037129746	0.059187887	0.00703788	0.010212097	0.030612245	3.523540793	0.023201856	0	1.294429708	0.051282051	12.19402985	0.015822785	0.023688663	0.048498845	0.537356322	0.036585366	0.042808219	0.779661017
HCN1	0.000508647	0	0.000834376	0	0.002897951	0.000785546	0	0.032247662	0	0	0	0	0	0	0	0	0	0	0	0
HCN3	0.030010173	0.005033557	0.006257822	0.013076394	0.013040778	0.006284368	0.020408163	0.086262496	0.004640371	0	0.00530504	0	0	0.004746835	0.00676819	0.004618938	0.002873563	0	0.011130137	0
HCRTR1	1.051881994	0	0.001668753	0.002064694	0	0.086410055	0	0.816349565	0	0	0.323607427	0	1.044776119	0.058544304	0	0	0.120689655	0	0.001712329	0.847457627
HCRTR2	0.001017294	0	0	0	0.000620989	0.000785546	0	0.043050629	0	0	0	0	0	0.001582278	0	0	0.002873563	0	0	0.005649718
HDAC1	4.957273652	0.234899329	0.161034627	0.337921542	0.10763817	0.495679497	0.244897959	4.139148662	0.081206497	0	0.733421751	0.230769231	22.46268657	0.247626582	0.438240271	0.207852194	0.16954023	0.573170732	0.464041096	0.559322034
HDAC11-AS1	0.000508647	0.005033557	0.002503129	0.000917642	0.001034982	0.003142184	0	0.027732989	0.002320186	0	0	0	0	0.000791139	0.001692047	0.006928406	0	0	0	0.005649718
HDAC4	0.436927772	0.088926174	0.138506466	0.102087635	0.177395984	0.084053417	0.132653061	0.509029345	0.062645012	0	0.169761273	0.230769231	0.104477612	0.124208861	0.099830795	0.170900693	0.028735632	0.12195122	0.136986301	0.11299435
HDAC9	0.996948118	0.005033557	0.003754693	0.047717366	0.002276961	0.003142184	0.020408163	1.018542406	0.039443155	0	0.542440318	0.051282051	3.432835821	0.036392405	0.011844332	0.016166282	0.045977011	0.048780488	0.065924658	0.011299435
HDDC2	4.360122075	0.293624161	0.471005423	0.941041523	0.69468019	0.526315789	0.642857143	4.169300226	0.199535963	0	1.980106101	0.820512821	7.552238806	1.112341772	0.416243655	2.907621247	1.462643678	0.658536585	0.960616438	0.587570621
HDHD3	1.24923703	0.065436242	0.080517313	0.123193393	0.080521631	0.089552239	0.112244898	0.48855208	0.016241299	0	0.100795756	0.076923077	0.134328358	0.090981013	0.07106599	0.177829099	0.048850575	0.06097561	0.14640411	0.491525424
HDLBP	12.04425229	0.788590604	1.214017522	5.075705437	2.26764645	2.535742341	2.204081633	8.587229926	1.009280742	8.5	6.563660477	2.820512821	32.13432836	3.083860759	1.323181049	3.759815242	3.137931034	3.036585366	3.905821918	12.57627119
HEATR1	0.966937945	0.088926174	0.095536087	0.177563661	0.121506934	0.168106834	0.255102041	1.024346985	0.083526682	0	0.572944297	0.102564103	3.567164179	0.126582278	0.108291032	0.614318707	0.33045977	0.134146341	0.165239726	0.514124294
HEATR4	0.027975585	0	0.000834376	0.000688231	0	0.116260801	0	0.087874879	0	0	0.072944297	0	0	0	0	0.002309469	0	0	0.001712329	0
HEATR5B	2	0.041946309	0.042553191	0.113099335	0.048644173	0.081696779	0.051020408	1.28152209	0.041763341	0	0.151193634	0.076923077	17.23880597	0.0625	0.055837563	0.071593533	0.031609195	0.085365854	0.074486301	0.073446328
HEBP1	3.318921668	0.567114094	0.880684189	1.292498279	1.455806251	0.866457188	1.091836735	2.906159303	0.245939675	3	2.275862069	1.358974359	8.343283582	0.837025316	0.85786802	1.757505774	0.75	1.073170732	1.698630137	2.039548023
HEBP2	1.334181078	0.295302013	0.42428035	1.611608167	0.234941006	0.227022781	0.62244898	1.478555305	0.30162413	1	1.453580902	1.128205128	0.492537313	0.626582278	0.614213198	0.946882217	0.482758621	1.475609756	1.553082192	0.615819209
HECTD1	5.771617497	0.411073826	0.338756779	0.741683872	0.480438833	0.954438335	0.602040816	4.621896163	0.234338747	0.5	1.832891247	0.743589744	18.86567164	0.473101266	0.485617597	0.660508083	1.971264368	0.658536585	0.71489726	5.418079096
HECTD3	2.643947101	0.073825503	0.085940759	0.192245928	0.111985096	0.153181461	0.102040816	2.523702032	0.046403712	0	0.696286472	0.076923077	1.582089552	0.107594937	0.0642978	0.260969977	0.155172414	0.195121951	0.177226027	2.220338983
HECW2	0.013733469	0.018456376	0.012932833	0.055746731	0.013247775	0.00785546	0.010204082	0.162366978	0.027842227	0	0.265251989	0.025641026	0.686567164	0.029272152	0.008460237	0.041570439	0.744252874	0	0.085616438	0.033898305
HEG1	1.712614446	0.17114094	0.267000417	0.978894242	0.665700683	0.335428123	0.571428571	2.016930023	0.183294664	0.5	0.787798408	0.871794872	11.17910448	0.382120253	0.392554992	2.519630485	0.287356322	0.670731707	0.621575342	2.355932203
HELB	0.188708037	0.041946309	0.03838131	0.058499656	0.060649969	0.010212097	0.081632653	0.20993228	0.020881671	0.5	0.057029178	0.102564103	0.074626866	0.056962025	0.065989848	0.085450346	0.011494253	0.036585366	0.083047945	0.050847458
HELT	0.000508647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEMGN	0	0	0	0.000688231	0	0	0	0.000322477	0	0	0	0	0	0.001582278	0	0	0	0	0	0
HEMK1	0.991861648	0.063758389	0.071339174	0.152099105	0.120057959	0.088766693	0.030612245	0.578845534	0.034802784	0.5	0.108753316	0.102564103	1.223880597	0.069620253	0.079526227	0.15704388	0.109195402	0.085365854	0.131849315	0.09039548
HENMT1	0.571719227	0.025167785	0.057989153	0.074328975	0.038087353	0.227808327	0.030612245	0.490003225	0.016241299	0	0.080901857	0.025641026	3.552238806	0.030063291	0.054145516	0.127020785	0.014367816	0.048780488	0.053082192	0.033898305
HEPACAM2	0	0	0	0	0	0.000785546	0	0.000806192	0	0	0	0	0	0.001582278	0	0	0	0	0.000856164	0
HERC3	7.150559512	0.023489933	0.05423446	0.116540491	0.070378804	0.124116261	0.030612245	4.888584328	0.018561485	0	1.49071618	0.076923077	17.1641791	0.112341772	0.045685279	0.07852194	0.715517241	0.036585366	0.059075342	0.350282486
HERC4	0.962868769	0.152684564	0.119315811	0.255333792	0.240529911	0.117046347	0.408163265	1.359400193	0.097447796	0	0.371352785	0.179487179	17.52238806	0.253164557	0.204737733	0.484988453	0.459770115	0.341463415	0.321061644	5.807909605
HERC5	0.373855544	0.137583893	0.083854819	0.118375774	0.070378804	0.059701493	0.091836735	0.192841019	0.055684455	0.5	0.145888594	0.051282051	0.074626866	0.131329114	0.079526227	0.103926097	0.083333333	0.048780488	0.293664384	0.141242938
HES1	3.580366226	0.313758389	0.768043388	1.279880707	0.224591182	0.177533386	1.102040816	4.158174782	0.429234339	1	2.586206897	1.641025641	3.253731343	3.820411392	1.175972927	1.983833718	0.695402299	1.012195122	3.051369863	1.203389831
HES2	0.001017294	0	0.000417188	0.001147052	0.000620989	0	0	0.00193486	0.002320186	0	0	0.025641026	0	0	0.001692047	0.002309469	0.002873563	0	0.002568493	0
HES4	5.457273652	0.191275168	0.178556529	1.689837119	0.08528255	0.190887667	1.244897959	5.120928733	0.582366589	1	3.205570292	0.641025641	2.014925373	1.147151899	0.340101523	0.644341801	0.75	1.414634146	1.761130137	1.350282486
HES5	0.107324517	0	0.000417188	0.001835283	0.000827986	0	0	0.222992583	0	0	0.01061008	0	0	0.01028481	0	0.002309469	0	0	0	0
HES6	0.036622584	0.010067114	0.018356279	0.034411562	0.031256469	0.001571092	0.020408163	0.066107707	0.009280742	0.5	0.053050398	0.051282051	0.059701493	0.03085443	0.023688663	0.018475751	0.063218391	0.085365854	0.045376712	0.011299435
HESX1	0.000508647	0.003355705	0.001668753	0.003211746	0.002690954	0.000785546	0	0.004837149	0	0	0.00397878	0	0	0.003955696	0	0.013856813	0	0	0.003424658	0
HEY2	11.31027467	0.015100671	0.029620359	0.211286992	0.05237011	0.241948154	0.081632653	7.359077717	0.118329466	0	1.339522546	0.076923077	0.402985075	0.602848101	0.00676819	0.043879908	0.129310345	0.146341463	0.15239726	0.11299435
HEYL	39.75076297	0.02852349	0.686691698	0.280339527	0.022976609	2.38648861	0.081632653	33.41422122	0.232018561	0	18.25729443	0.282051282	82.65671642	2.640031646	0.033840948	1.651270208	0.16091954	0.109756098	0.380993151	7.858757062
HFE	0.283316378	0.030201342	0.080517313	0.070428997	0.060235976	0.692851532	0.040816327	0.249274428	0.025522042	0.5	0.220159151	0.025641026	0.940298507	0.037183544	0.040609137	0.073903002	0.017241379	0.048780488	0.080479452	0.016949153
HFM1	0.342828077	0.015100671	0.004171882	0.004817619	0.009935831	0.084838963	0.030612245	0.120445018	0.006960557	0	0.058355438	0.051282051	1.47761194	0.004746835	0.011844332	0.013856813	0.002873563	0	0.003424658	0.005649718
HGD	0.00508647	0.001677852	0.000417188	0.002523515	0.000206996	0.000785546	0	0.00854563	0	0	0.00928382	0	0.044776119	0.000791139	0	0.006928406	0.002873563	0	0.000856164	0
HGF	2.394201424	0.255033557	0.209011264	0.358568479	0.089215483	0.534956795	0.316326531	11.02853918	0.051044084	0	2.083554377	0.358974359	83.13432836	0.542721519	0.519458545	0.277136259	0.048850575	0.170731707	0.495719178	5.06779661
HGFAC	0.000508647	0	0	0.000917642	0	0	0	0.00096743	0	0	0	0	0	0	0.001692047	0	0.002873563	0	0.000856164	0
HHAT	0.008138352	0.025167785	0.080517313	0.030052764	0.007451873	0.012568735	0	0.199129313	0.013921114	0	0.147214854	0.051282051	4.014925373	0.015822785	0.033840948	0.030023095	0.005747126	0	0.019691781	0.02259887
HHATL	0	0	0	0.00022941	0.000827986	0	0.010204082	0	0	0	0	0.051282051	0	0.000791139	0	0.009237875	0.002873563	0	0	0
HHIP	0.001017294	0.072147651	0.101793909	0.091534756	0.035810391	0.118617439	0.010204082	0.024508223	0.011600928	0	0.168435013	0	0.671641791	0.14556962	0.263959391	0.595842956	0.247126437	1.853658537	0.038527397	5.378531073
HHIP-AS1	0.001525941	0.036912752	0.123070505	0.008947006	0.060442972	0.099764336	0.030612245	0.003386005	0	0	0.172413793	0	0.313432836	0.042721519	0.106598985	0.106235566	0.247126437	0.243902439	0.009417808	0.847457627
HHIPL1	0.124109868	0.025167785	0.01585315	0.128240422	0.012005796	0.018853103	0.030612245	0.050790068	0.027842227	0	0.068965517	0.076923077	9.268656716	0.036392405	0.020304569	0.060046189	0.011494253	0.06097561	0.102739726	0.079096045
HHIPL2	0	0	0	0.001605873	0.000620989	0	0	0.001128668	0.002320186	0	0.00265252	0	0	0.000791139	0	0	0.002873563	0	0.000856164	0
HHLA1	0	0	0	0	0	0	0	0.009835537	0	0	0	0	0	0	0	0	0	0	0	0
HHLA2	0	0	0	0	0.000206996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HHLA3	0.701424212	0.055369128	0.095536087	0.122505162	0.124197889	0.078554595	0.091836735	0.652853918	0.023201856	0	0.377984085	0.076923077	0.164179104	0.088607595	0.087986464	0.203233256	0.057471264	0.097560976	0.128424658	0.079096045
HIBADH	4.908952187	0.226510067	0.405089695	0.382197752	0.632995239	0.454831108	0.459183673	4.028861658	0.090487239	0	1.452254642	0.358974359	3.910447761	0.504746835	0.333333333	0.612009238	0.787356322	0.329268293	0.421232877	2.197740113
HIBCH	3.123092574	0.132550336	0.166875261	0.185134205	0.206582488	0.175176748	0.183673469	2.254434054	0.076566125	0	1.00265252	0.256410256	2.417910448	0.244462025	0.172588832	0.244803695	0.658045977	0.146341463	0.211472603	2.141242938
HIGD1A	9.049338759	0.947986577	0.925323321	0.661390227	3.926930242	1.099764336	0.846938776	8.77668494	0.139211137	0	2.99469496	1.102564103	14.67164179	0.757911392	1.084602369	1.494226328	1.635057471	1.219512195	0.755136986	0.497175141
HIGD2A	2.864699898	0.847315436	1.107634543	2.496444139	1.868143242	0.816967793	1.928571429	3.95517575	0.552204176	4.5	2.689655172	2.051282051	4.850746269	1.517405063	1.311336717	2.74595843	1.387931034	1.93902439	2.789383562	1.514124294
HINT1	11.0671414	1.310402685	1.936587401	5.072264281	3.326433451	1.898664572	3.520408163	10.86810706	1	6	5.652519894	4.076923077	15.68656716	2.503164557	2.800338409	4.15704388	2.942528736	4.975609756	5.768835616	3.192090395
HINT2	2.244659207	0.208053691	0.309553609	0.638449186	0.62471538	0.290652003	0.367346939	1.939213157	0.125290023	0	0.931034483	0.666666667	3.611940299	0.340981013	0.41285956	0.658198614	0.399425287	0.475609756	0.795376712	0.632768362
HINT3	2.320447609	0.040268456	0.074259491	0.123652214	0.093976402	0.050274941	0.234693878	1.490003225	0.039443155	0	0.633952255	0.205128205	2.328358209	0.123417722	0.108291032	1.418013857	0.109195402	0.207317073	0.232876712	1.389830508
HIPK2	3.74415056	0.808724832	0.064246975	0.153934389	0.074311737	0.068342498	0.224489796	2.44082554	0.090487239	0	0.24801061	0.205128205	2.298507463	0.164556962	1.113367174	0.108545035	4.563218391	0.719512195	0.167808219	0.11299435
HIVEP2	1.628179044	0.092281879	0.136837714	0.376462491	0.116746015	0.070699136	0.489795918	1.331505966	0.102088167	0	0.326259947	0.256410256	14.13432836	0.234177215	0.13536379	0.221709007	0.149425287	0.109756098	0.476883562	0.152542373
HIVEP3	0.828077314	0.072147651	0.055903212	0.14911677	0.035396398	0.135113904	0.163265306	0.780393421	0.044083527	0	0.24801061	0.076923077	10.7761194	0.116297468	0.133671743	0.073903002	0.028735632	0.048780488	0.208047945	1.497175141
HK2	0.010681587	0.023489933	0.017104714	0.073640743	0.008486856	0.012568735	0.163265306	0.081909062	0.041763341	0	0.100795756	0.076923077	0.074626866	0.165348101	0.072758037	0.043879908	0.290229885	0.048780488	0.130993151	0.04519774
HKDC1	0.001017294	0.001677852	0	0.000688231	0.002897951	0	0	0.002579813	0.002320186	0	0.00397878	0.076923077	0	0.000791139	0.001692047	0	0.00862069	0	0.002568493	0
HLA-C	143.0218718	7.513422819	5.022945348	22.41775637	6.388532395	10.54988217	10.86734694	136.3887456	4.194895592	23	46.50530504	14.82051282	433.7014925	17.35522152	17.62436548	18.66512702	4.744252874	19.01219512	31.95291096	45.26553672
HLA-DMA	0.580874873	0.02852349	0.055486024	0.035329204	0.048023184	0.043990573	0.102040816	0.195904547	0.051044084	0	0.066312997	0.435897436	1.955223881	0.0625	0.047377327	0.03926097	0.040229885	0.024390244	0.053082192	0.429378531
HLA-DQA2	0.003560529	0.003355705	0.002503129	0.001147052	0.002069965	0.000785546	0	0.005965817	0.002320186	0	0	0.025641026	1.388059701	0.001582278	0.003384095	0.002309469	0.005747126	0	0.001712329	0.152542373
HLA-DQB2	0	0	0	0.004129387	0	0	0	0.001128668	0	0	0.00265252	0.205128205	0	0.006329114	0.001692047	0	0.005747126	0	0.008561644	0.231638418
HLA-DRA	1.171414039	0.129194631	0.275761368	0.123881624	0.120885945	0.332285939	0.755102041	0.38068365	0.141531323	0	0.161803714	1.564102564	9.014925373	0.28085443	0.274111675	0.193995381	0.235632184	0.146341463	0.21489726	1.355932203
HLA-DRB1	0.265513733	0.097315436	0.482686692	0.130993347	0.210101428	0.490966222	0.428571429	0.313286037	0.129930394	0.5	0.848806366	2.051282051	17.50746269	0.363132911	0.155668359	0.454965358	0.189655172	0.097560976	0.26369863	1.152542373
